pair,starttime,endtime,interval,0.01,0.02,start,end
sxp/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",86150,9996,,
rei/usdt,2022-05-04 04:00:00,2023-01-01 00:00:00,"241 days, 20:00:00",30050,9986,,
grt/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",80320,9982,,
bel/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",81921,9978,,
band/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",75282,9955,,
cfx/usdt,2021-03-29 11:00:00,2023-01-01 00:00:00,"642 days, 13:00:00",54859,9935,,
tvk/usdt,2021-08-06 10:00:00,2023-01-01 00:00:00,"512 days, 14:00:00",52045,9933,,
voxel/usdt,2021-12-14 12:00:00,2023-01-01 00:00:00,"382 days, 12:00:00",44732,9920,,
df/usdt,2021-09-24 10:00:00,2023-01-01 00:00:00,"463 days, 14:00:00",35438,9919,,
waves/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",79994,9749,,
dodo/usdt,2021-02-19 10:00:00,2023-01-01 00:00:00,"680 days, 14:00:00",76624,9748,,
people/usdt,2021-12-23 06:00:00,2023-01-01 00:00:00,"373 days, 18:00:00",67149,9722,,
mln/usdt,2021-07-05 06:00:00,2023-01-01 00:00:00,"544 days, 18:00:00",27884,9644,,
pyr/usdt,2021-11-26 08:00:00,2023-01-01 00:00:00,"400 days, 16:00:00",59273,9643,,
ant/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",79143,9607,,
pols/usdt,2021-05-19 07:00:00,2023-01-01 00:00:00,"591 days, 17:00:00",40883,9556,,
btg/usdt,2021-04-16 07:00:00,2022-10-24 08:59:00,"556 days, 1:59:00",46144,9531,,
crv/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",88881,9529,,
fida/usdt,2021-09-30 12:00:00,2023-01-01 00:00:00,"457 days, 12:00:00",31560,9514,,
skl/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",77779,9465,,
bake/usdt,2021-04-30 12:00:00,2023-01-01 00:00:00,"610 days, 12:00:00",71544,9342,,
mdx/usdt,2021-05-24 09:00:00,2023-01-01 00:00:00,"586 days, 15:00:00",45710,9324,,
bts/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",57874,9316,,
vet/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",78637,9222,,
lever/usdt,2022-07-13 04:00:00,2023-01-01 00:00:00,"171 days, 20:00:00",27489,9169,,
