pair,starttime,endtime,interval,0.01,0.02,start,end
inj/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",68391,11246,2023-01-26 23:49:06,2023-01-26 23:55:17
auto/usdt,2021-04-02 09:00:00,2023-01-01 00:00:00,"638 days, 15:00:00",57920,11233,2023-01-26 23:49:52,2023-01-26 23:56:10
sol/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",84723,11190,2023-01-26 23:51:54,2023-01-26 23:59:10
fun/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",50672,11150,2023-01-26 23:52:28,2023-01-26 23:59:00
cvc/usdt,2021-01-01 00:00:00,2022-12-09 02:59:00,"707 days, 2:59:00",66589,11136,2023-01-26 23:55:06,2023-01-26 23:55:09
ar/usdt,2021-05-14 12:00:00,2023-01-01 00:00:00,"596 days, 12:00:00",78479,11119,2023-01-26 23:55:10,2023-01-27 00:00:57
eps/usdt,2021-04-02 09:00:00,2022-05-09 03:59:00,"401 days, 18:59:00",89440,11101,2023-01-26 23:55:20,2023-01-26 23:55:21
zen/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",74284,11064,2023-01-26 23:55:22,2023-01-27 00:01:13
qi/usdt,2021-11-15 08:00:00,2023-01-01 00:00:00,"411 days, 16:00:00",62389,11042,2023-01-26 23:56:13,2023-01-27 00:02:10
farm/usdt,2021-08-11 08:00:00,2023-01-01 00:00:00,"507 days, 16:00:00",36783,11040,2023-01-26 23:59:03,2023-01-27 00:04:37
dar/usdt,2021-11-04 08:00:00,2023-01-01 00:00:00,"422 days, 16:00:00",55395,10939,2023-01-26 23:59:13,2023-01-27 00:05:47
trb/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",88303,10862,2023-01-27 00:01:00,2023-01-27 00:06:46
kp3r/usdt,2021-11-12 10:00:00,2023-01-01 00:00:00,"414 days, 14:00:00",51596,10848,2023-01-27 00:01:16,2023-01-27 00:07:22
pha/usdt,2021-06-25 10:00:00,2023-01-01 00:00:00,"554 days, 14:00:00",34742,10687,2023-01-27 00:02:13,2023-01-27 00:08:33
perp/usdt,2021-03-19 08:00:00,2023-01-01 00:00:00,"652 days, 16:00:00",59901,10597,2023-01-27 00:04:40,2023-01-27 00:10:56
gmt/usdt,2022-03-09 12:00:00,2023-01-01 00:00:00,"297 days, 12:00:00",51225,10581,2023-01-27 00:05:50,2023-01-27 00:13:36
arpa/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",80023,10481,2023-01-27 00:06:49,2023-01-27 00:12:38
